Drug_class,CF1A.3314,CF1A.3324,CF1A.3334,CF1A.314,CF1A.324,CF1A.334,CF1H.314,CF1H.324,CF1H.334,CF1H.344,CF1E.311,CF1E.312B,CF1E.312P,JF1A.3314,JF1A.3324,JF1A.3334,JF1A.314,JF1A.324,JF1A.334,JF1H.314,JF1H.324,JF1H.334,JF1H.344,JF1H.354,JF1E.311,JF1E.312B,JF1E.312P,JF1A.4314,JF1A.4324,JF1A.4334,JF1A.414,JF1A.424,JF1A.434,JF1H.424,JF1H.444,JF1H.454,JF1E.412B,JF1E.412P,CF1A.1314,CF1A.1324,CF1A.1334,CF1A.114,CF1A.124,CF1A.134,CF1H.114,CF1H.124,CF1H.134,CF1E.111,CF1E.112B,CF1E.112P,JF1A.1314,JF1A.1324,JF1A.1334,JF1A.114,JF1A.124,JF1A.134,JF1H.114,JF1H.124,JF1H.134,JF1E.111,JF1E.112B,JF1E.112P,KF1A.1314,KF1A.1324,KF1A.1334,KF1A.114,KF1A.124,KF1A.134,KF1H.114,KF1H.144,KF1H.154,KF1E.111,KF1E.112B,KF1E.112P
tetracycline,315.0380504,399.1316926,369.1995559,348.4450469,416.8313895,300.7607653,214.598711,426.2777401,244.8026869,173.9157844,261.8044883,266.3053192,347.5639342,340.4859002,418.8614706,243.0219875,292.1992572,289.2835324,324.9317026,195.7214687,259.4124548,128.753984,223.4901724,224.4724039,88.02429549,288.2069229,276.4194182,379.1425679,381.6093405,327.3975796,454.0112871,465.0005839,431.1461671,254.8301259,434.1369292,416.8237599,332.212278,475.6905609,354.3282916,296.2947042,332.5355238,458.3422529,619.5012226,432.3357039,231.7772379,242.9781007,372.3828218,285.2934286,370.2268764,446.6918846,329.5340411,345.7719505,300.9245271,625.0946299,352.1517128,338.8303802,200.8459052,329.2409768,263.0829232,167.1803472,285.5103854,320.5884978,274.3405286,234.1640588,289.3512706,316.9396897,362.7358274,327.2190991,214.1325674,165.2239898,85.13735242,280.747334,241.0955925,271.5557173
aminoglycoside,114.1889526,98.78959296,93.57711433,490.3277217,368.6920381,293.3449732,25.17340018,19.72788394,14.34814872,4.133070891,1101.990549,821.0349706,1049.249301,78.14510435,56.81747676,54.70109797,148.9319598,146.5665436,439.2036,9.677074478,37.32643498,81.75271635,2.727377015,4.843379276,148.8204997,73.12955078,311.816908,165.4689034,143.8121223,136.8738551,265.1630645,248.5744631,158.4500432,14.15312373,14.4469713,19.71090371,927.2109775,344.3336191,298.2717193,349.5821396,295.7643244,340.8268054,364.3421965,229.9186933,18.23014231,26.41193546,54.54829093,254.2374207,447.724111,413.5090464,161.3978308,105.6632962,107.6237147,81.70353324,144.0743131,110.2710532,59.58428169,57.91085485,18.15228567,416.5122522,100.9299806,167.8055122,118.3089367,116.7801407,154.8007054,161.4299726,184.147095,182.6112243,6.634736051,10.47553342,32.80450081,377.9878726,173.3725073,958.7641614
MLS,64.37488222,112.7569367,91.75980447,68.51635223,184.0878322,185.9292082,123.2425174,1.266525841,31.22282216,34.01816434,311.4584664,388.8265909,208.6155659,25.7875127,52.32841738,21.62818443,36.97023754,29.2997879,46.62815202,187.4696279,48.827434,78.15309508,139.3762926,175.290669,41.75767753,37.76878798,99.79883919,85.14916715,72.0080081,80.31912467,168.3021401,107.676183,100.3915669,14.66228465,41.7886036,150.2435413,130.4179955,115.6555503,51.80051294,79.53505269,62.76836423,70.19452756,172.5875594,132.7033736,113.3452787,92.12957053,50.32731823,83.24179567,99.55326807,61.13150849,42.8635134,50.5584241,69.07599641,37.6505399,77.84582364,66.19748108,27.36669244,51.64532973,32.64797214,253.2847965,49.80263783,76.82607725,30.01568912,23.61651924,35.32104713,29.61878015,30.61111445,41.50008592,94.44873973,255.027215,36.33032818,204.6194761,46.96839025,84.84109544
MDR,53.07880154,38.6892796,59.5990528,534.6317177,166.9053471,160.6042448,75.08863477,2.982915381,33.15041697,4.809002504,273.7788941,133.8094126,214.8537894,70.15668973,52.8097439,40.71192621,37.37756133,53.03271209,283.1732023,1.555710997,92.03063778,1.186533671,2.142202546,3.590161407,15.4559959,44.23000645,68.33019886,142.534833,177.7427309,142.7802087,42.74912686,46.93396256,47.51937613,5.685645353,0.715004818,6.071726946,420.0909571,78.17372032,143.2839666,176.2094718,148.1026176,37.97148632,27.62542677,28.0784123,14.61885255,3.312111249,34.50132715,130.7788198,221.7657594,75.52452726,46.62816128,77.11530305,59.04008913,12.00622494,28.81368337,25.33300668,23.6917299,6.144665787,1.621762125,45.06592059,78.5755984,36.55761303,38.69386285,35.53391297,36.27251709,36.61740076,35.4374702,35.16432823,0.181429422,3.578544324,45.55512346,91.84313171,35.63903989,162.2122204
lincosamide,196.5023972,191.1088656,191.4674538,187.1125034,51.83776167,41.91422642,0.210790917,9.525809783,12.51827287,0.055215013,147.4297347,452.0397416,270.6466802,90.23826806,54.77110086,70.30592413,60.02346186,85.7502739,92.89986491,12.57930397,14.1344003,5.15537932,6.25054106,7.376414985,3.286182788,72.76164743,104.2627305,61.06059005,72.98338562,67.99393953,126.4236544,134.8334619,93.5851265,6.218574138,2.580378188,19.90573587,46.79877492,84.77308373,73.57193588,78.82860238,66.03355089,149.3780087,131.6844302,61.03496804,73.61830667,31.7094752,76.0500861,22.58989356,124.3702165,101.3226747,59.31792692,53.50321737,78.97465676,64.3201964,62.89035173,69.71571747,50.54647245,19.81916668,6.563208391,5.518280641,47.2937282,76.14562159,70.82377922,58.4573255,69.7391104,82.74011267,98.91829624,96.51348954,10.84816729,5.758272392,0.411977576,9.778045512,123.9442463,59.64169583
cephamycin,27.19427389,23.15001059,38.95919332,24.78441357,19.52436261,10.01101064,87.53781699,105.7556797,26.26920088,77.81236591,5.79257772,3.735566496,7.784509158,27.63555713,13.4519558,17.69438365,30.8842547,12.13395837,8.800277378,70.76648491,103.6235787,86.96795263,88.69392126,107.2280075,0.362466939,29.95726889,17.6097856,68.17847322,60.18041827,52.35044897,39.39927104,26.45085231,14.02835934,88.03388747,232.3073242,84.50822157,1.825638146,8.820922418,32.88227726,26.01332863,31.84981645,29.5701999,1.88989964,32.35760963,0.1763642,160.8852162,52.0568348,8.665953862,23.1278315,14.36006703,27.64759095,52.45440677,33.80515744,5.456755465,12.59916044,9.935314326,55.67399444,17.50700042,86.95933145,0.045075724,46.62325376,8.614788912,31.19637484,25.67365494,25.18519458,28.09518862,10.30646888,26.90662122,47.96677064,125.1598914,95.22499641,0.226175034,17.58507776,7.545650679
phenicol,0.76923174,1.233190709,0.236612789,16.64752691,16.57956105,20.2979686,0.548725562,0.045878531,0.164477753,0.997579032,44.23249492,52.47997567,196.1809877,3.481230543,0.407880086,0.377182128,0.119624167,0.247026255,83.24897253,0.858088185,0.059878713,0.537045698,0.104906188,,15.72121302,1.299962182,19.1993302,92.52364746,62.0794616,60.46583078,2.690754019,8.239843865,8.797921168,0.509790928,1.169660824,0.45607535,791.5512538,55.01694736,20.6103774,32.12294515,39.18419322,3.698677086,17.58655174,26.70003425,11.08351039,1.072475468,1.852656199,63.48501368,55.07861346,107.8479973,4.417584888,12.14280386,10.51462923,1.516327012,0.770622147,2.5622708,4.667646385,10.98514667,0.529829307,118.1249286,24.87600338,26.36925904,24.72471958,12.62331247,9.751633095,1.728836646,3.857473497,2.639837653,0.048246729,0.200679016,1.334258718,150.8702454,21.71243273,269.8521444
nucleoside,29.13418211,29.42164468,32.03306676,44.03661305,51.56902108,30.02774192,1.399250184,5.223270775,1.343437885,0.024693381,56.8819301,34.41602482,84.41499893,18.52383112,17.17010365,16.49045002,38.39499569,33.45633165,31.74227934,2.364652713,6.175526787,1.305312488,0.529288467,0.677283236,3.775495371,19.9961205,49.14337607,27.10444366,28.37636889,27.39859959,68.93526522,48.08336561,37.8152919,0.598575081,1.716331964,1.730179678,17.8174508,56.26776901,54.40092095,44.14886794,43.29021948,94.39922387,103.3646325,62.72056377,2.185023037,1.649347539,13.27959416,20.42157434,58.85047428,60.99124271,48.14027704,32.76955638,28.87097114,27.48416576,26.4587573,30.06376429,3.484196867,1.260421205,0.220308866,2.157025966,28.51491556,30.45671497,40.06974637,35.19866778,44.95845701,49.00148414,52.9077042,51.66540693,0.049053009,0.968630793,0.110491152,10.45183863,43.64809114,29.09919791
sulfonamide;sulfone,0.386147952,0.40856401,0.643496525,33.17058191,24.88241334,45.44011274,2.673085781,2.757151728,0.158983635,0.254899415,70.02740251,67.88101819,123.8581437,3.377786136,0.284861213,0.55488165,0.049042714,0.72615074,100.86973,0.218542614,0.125383325,0.173399445,0.149707203,0.778596965,71.26786444,0.519436676,17.66163224,22.18289261,12.19144637,1.147015038,0.049009645,0.274218295,1.573301638,5.705736521,2.480660858,0.038491205,511.6189082,29.89130482,2.076476098,5.491049962,14.37500754,0.571488161,2.080512284,1.584177571,0.283704336,0.035338955,0.240119637,50.25591177,10.44798226,55.97825991,0.181978947,0.276523735,0.234287802,0.216153735,0.744517774,0.586812226,12.98837311,0.812746307,0.020304965,220.5256892,0.905157243,11.69863464,0.461022698,1.029108537,0.587058436,1.122874733,0.428808227,0.914280414,8.634053562,1.965855854,0.566043721,149.222548,1.935944862,284.8449039
beta-lactam,26.00996086,34.9050161,36.63704226,47.16331742,15.32761224,12.23011304,4.627039606,9.719032714,9.82430296,0.027535249,42.44833817,9.997855819,17.58701075,55.56147065,30.59336316,43.86720578,24.66894557,16.49906463,56.35116019,10.0780242,18.66647039,2.737225665,2.685353493,18.82146094,26.50904291,36.44931755,17.77968091,47.34369442,59.61970387,27.67639473,81.34093404,56.69299241,63.17929747,1.804810202,7.309993317,0.651783988,41.63856622,28.43864318,27.51502092,27.8588398,21.40554763,20.7973264,2.794897225,4.79448538,38.77892939,24.27669593,7.452320063,23.05096861,38.03025529,24.48217756,18.69791597,52.2948047,44.23339291,35.14718096,9.82095717,27.52161709,14.5439209,0.118287704,9.3010599,39.32419134,25.47115768,24.78230204,44.13435771,21.96210278,25.22893137,13.22852357,8.192348535,17.54825664,11.0406838,0.152753383,14.6417516,31.28617634,30.53184531,64.475066
