Sample_ID	faith_pd	Farm	Antibiotics	Env	Growth	Region
20-CF2A-1314	25.29675599	CF-1	Conventional	Swine_Fecal	Adult	Chungcheong
20-CF2A-1324	30.76709057	CF-1	Conventional	Swine_Fecal	Adult	Chungcheong
20-CF2A-1334	24.88891799	CF-1	Conventional	Swine_Fecal	Adult	Chungcheong
20-CF2A-3314	35.98760016	CF-3	Organic	Swine_Fecal	Adult	Chungcheong
20-CF2A-3324	25.47660029	CF-3	Organic	Swine_Fecal	Adult	Chungcheong
20-CF2A-3334	38.33688049	CF-3	Organic	Swine_Fecal	Adult	Chungcheong
20-JF2A-1314	39.94256697	JF-1	Conventional	Swine_Fecal	Adult	Jeonla
20-JF2A-1324	36.78840202	JF-1	Conventional	Swine_Fecal	Adult	Jeonla
20-JF2A-1334	38.43808627	JF-1	Conventional	Swine_Fecal	Adult	Jeonla
20-JF2A-3314	42.5478895	JF-3	Organic	Swine_Fecal	Adult	Jeonla
20-JF2A-3324	31.2439725	JF-3	Organic	Swine_Fecal	Adult	Jeonla
20-JF2A-3334	37.30763002	JF-3	Organic	Swine_Fecal	Adult	Jeonla
20-JF2A-4314	44.23811593	JF-4	Organic	Swine_Fecal	Adult	Jeonla
20-JF2A-4324	35.94061702	JF-4	Organic	Swine_Fecal	Adult	Jeonla
20-JF2A-4334	44.13853609	JF-4	Organic	Swine_Fecal	Adult	Jeonla
20-KF2A-1314	26.25411461	KF-1	Conventional	Swine_Fecal	Adult	Kyeongki
20-KF2A-1324	30.5335667	KF-1	Conventional	Swine_Fecal	Adult	Kyeongki
20-KF2A-1334	39.35235402	KF-1	Conventional	Swine_Fecal	Adult	Kyeongki
CDC-CF1A-1314	28.23971874	CF-1	Conventional	Swine_Fecal	Adult	Chungcheong
CDC-CF1A-1324	37.26986073	CF-1	Conventional	Swine_Fecal	Adult	Chungcheong
CDC-CF1A-1334	34.61817201	CF-1	Conventional	Swine_Fecal	Adult	Chungcheong
CDC-CF1A-3314	25.77171136	CF-3	Organic	Swine_Fecal	Adult	Chungcheong
CDC-CF1A-3324	28.07380623	CF-3	Organic	Swine_Fecal	Adult	Chungcheong
CDC-CF1A-3334	31.8219502	CF-3	Organic	Swine_Fecal	Adult	Chungcheong
CDC-JF1A-1314	27.76012425	JF-1	Conventional	Swine_Fecal	Adult	Jeonla
CDC-JF1A-1324	25.76291729	JF-1	Conventional	Swine_Fecal	Adult	Jeonla
CDC-JF1A-1334	26.90416438	JF-1	Conventional	Swine_Fecal	Adult	Jeonla
CDC-JF1A-3314	25.67498991	JF-3	Organic	Swine_Fecal	Adult	Jeonla
CDC-JF1A-3324	24.22350327	JF-3	Organic	Swine_Fecal	Adult	Jeonla
