,2021_CF2A_114,2021_CF2A_124,2021_CF2A_134,2021_CF2A_314,2021_CF2A_324,2021_CF2A_334,2021_JF2A_114,2021_JF2A_124,2021_JF2A_134,2021_KF2A_214,2021_KF2A_224,2021_KF2A_234,2021_CF2A_1314,2021_CF2A_1324,2021_CF2A_1334,2021_CF2A_3314,2021_CF2A_3324,2021_CF2A_3334,2021_JF2A_1314,2021_JF2A_1324,2021_JF2A_1334,2021_KF2A_2314,2021_KF2A_2324,2021_KF2A_2334,2021_CF2A_112,2021_CF2A_122,2021_CF2A_312,2021_CF2A_322,2021_CF2A_332,2021_JF2A_112,2021_JF2A_122,2021_JF2A_132,2021_KF2A_212,2021_KF2A_222,2021_KF2A_242,2021_CF2A_1312,2021_CF2A_1322,2021_CF2A_1332,2021_CF2A_3312,2021_CF2A_3332,2021_JF2A_1312,2021_JF2A_1322,2021_JF2A_1332,2021_KF2A_2312,2021_KF2A_2322,2021_KF2A_2332,2021_CF2E_112P,2021_CF2E_312P,2021_JF2E_112P,2021_KF2E_212P,2021_CF2E_112B,2021_CF2E_312B,2021_JF2E_112B,2021_KF2E_212B,2021_CF2E_111,2021_CF2E_311,2021_JF2E_111,2021_KF2E_211,2021_CF1H_114,2021_CF1H_124,2021_CF1H_134,2021_CF1H_314,2021_CF1H_324,2021_CF1H_334,2021_CF2H_314,2021_CF2H_324,2021_JF1H_414,2021_JF1H_424,2021_JF2H_114,2021_JF2H_124,2021_JF2H_414,2021_JF2H_424,2021_KF1H_114,2021_KF1H_124,2021_KF1H_213,2021_KF1H_224,2021_KF1H_234,2021_KF2H_213,2021_KF2H_224,2021_CF1H_112,2021_CF1H_132,2021_CF2H_112,2021_CF2H_132,2021_JF2H_122,2021_JF2H_412,2021_JF2H_422,2021_KF1H_112,2021_KF1H_122,2021_KF1H_212,2021_KF2H_112,2021_KF2H_212,2021_KF2H_222
MDR,235.7522311,115.4679051,53.59099778,98.95716207,92.60814085,89.04937407,112.587515,159.8576145,49.42717112,46.22863073,50.42454366,40.4866826,71.51280217,77.58150685,57.84135571,73.465292,88.06653951,48.80770033,109.4881914,141.2747113,107.5990093,50.53870859,49.29601936,72.6412428,111.7023133,104.8594971,731.6371859,1442.398564,304.8338972,187.0467006,289.1914512,225.3000261,315.6246325,318.9828413,351.8821166,386.3449756,268.8111227,115.1570049,261.4277374,262.0629416,257.4064955,240.9148121,222.960479,620.0366964,691.2786405,593.1997972,192.3978111,181.9831168,700.7834351,193.8758168,114.7403098,153.7329719,118.5564125,147.1346279,179.5089031,54.66334459,13.25938399,83.31203687,48.31194217,47.983012,50.29838592,14.59710512,12.06114553,73.2209645,19.23116857,6.059478612,194.966175,18.15825105,5.53040183,14.93660355,12.28234723,14.18025487,17.8211927,105.379449,484.9878721,156.1230269,548.2417403,203.2319906,82.09894963,1437.688718,18.62653484,2110.187249,1914.034522,115.7379097,2352.688272,2603.790573,2285.101052,231.8574594,1299.632804,1627.261168,1742.741669,2150.940656
MLS,167.2413138,160.4611815,197.8505265,247.291878,250.2982003,234.006912,179.2176303,193.6751173,260.6524051,116.6830646,99.76065403,94.00684452,246.3799188,232.4047823,287.663764,200.2065553,212.5827189,135.0114091,122.5850062,133.4778355,155.8398007,140.7389005,144.1218975,149.020616,247.7607511,222.5100246,575.8873804,706.5189819,489.4678654,456.6084259,585.3548827,536.5444403,389.2569558,411.5297801,372.201678,706.5208617,519.6906051,504.0156521,164.8187779,182.0575851,794.1446755,416.309945,733.852899,412.5769813,316.1579936,345.0424351,1513.10732,322.4601774,1205.529933,880.2051071,627.4636712,205.0407931,496.0396749,395.1008215,474.6760916,51.94400838,13.5219032,145.4444486,62.71273821,57.91420814,51.7649869,55.94003558,57.49123492,92.15746745,84.08185482,94.22290195,22.61564025,64.231014,106.9747425,103.0594156,111.1543192,119.2032063,68.00688191,74.53668738,77.57494113,47.23857239,77.60969882,116.1000313,54.42621071,3.644811109,21.64868433,18.4175995,22.69521039,35.19385752,2.058441447,4.234595505,2.652903521,13.77793739,39.74888597,69.82132771,35.27754767,13.49677134
Other,26.82066843,0.326371281,0.053182358,0.361482858,0.351006287,0.236679073,0.57510302,0.71210124,0.188523784,0.31957193,0.01524968,0.212938534,0,0.144205226,0.312166697,0.721074185,3.605630034,0.027137717,0.072521355,0.099107825,0.15271583,0.065864955,0.324469922,0.115209248,148.7999005,141.0832782,115.6035692,138.242107,213.015073,98.79454072,80.65576232,37.19960703,78.67411097,96.95418649,131.407295,60.67500063,66.17368051,19.65701745,11.5411247,15.13862107,61.14373996,55.51757925,87.47411418,68.0336084,66.93679871,82.05194902,69.47652492,76.14211011,80.05339441,82.49686386,302.0634966,79.63585575,81.72235904,87.37182925,54.23151166,49.66249914,30.44807323,42.63723272,0.34878714,0.323661218,0.182236727,0.101370126,0.144365571,0.096238242,0.166622245,0.031957002,12.30772367,0.816068778,0.033096495,0.063143936,0.139692461,0.15238437,0.336016262,1.098648322,3.301767872,1.82884022,3.678746451,7.372403547,0.59698369,88.80396864,0.121500397,111.7294979,115.5083461,13.51659022,116.9217866,118.4029999,128.730377,0.033442834,0.149285746,93.73629669,103.635552,122.1997681
aminoglycoside antibiotic,552.1677706,96.70540679,247.3180518,249.0088116,251.8529684,233.8272809,147.5963351,178.5951225,203.174403,144.8927621,118.5126497,201.0146368,87.19561909,80.48416817,119.6098669,125.7120824,164.4444771,77.00700702,192.1667945,145.4942459,227.7598462,123.4892537,136.1045176,177.3332286,1005.347663,929.9457237,890.3147902,1131.359617,797.1112445,722.3088937,1031.013038,1119.384395,1852.076864,1860.340787,2104.083091,1076.969069,795.1918123,432.3831933,233.9978282,222.9433616,856.5954996,679.5223377,851.356158,1831.81458,1712.857796,1664.939264,1389.399067,462.6097092,1196.606895,1874.713379,1335.263307,439.1719958,380.5056325,800.7798382,640.9288839,110.5066448,56.7485866,241.9037811,8.292018636,8.595387899,15.58441411,5.461885876,7.992205882,27.03394242,24.07358617,23.71612663,24.27062828,16.38442931,7.79160375,16.71788919,15.96387671,18.73742341,3.483582641,32.47811309,54.81998318,18.99666802,62.20031984,37.05905903,14.75889184,122.3361595,5.702167883,188.1264128,175.0283408,53.77074656,186.8391826,216.8363067,191.8267359,324.358695,553.9744357,182.864554,175.9408296,220.9660355
antibacterial free fatty acids,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034694662,0.139963941,0,0.128019509,0.059822989,0.024193565,0.04640907,0,0,0,0,0.065774876,0.088628253,0.127501216,0,0,0,0,0,0,0,0,0.021412663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.072773675,0,0,0,0,0,0,0,0,0,0,0
beta-lactam,35.87911552,61.56346829,46.03900293,32.89510044,32.06739467,49.64136498,22.06631275,18.94598584,22.02379819,12.01472365,52.2763132,15.53000141,59.46027784,55.42412822,27.93773347,51.49266681,38.64321105,51.60059629,72.79225346,47.50719706,66.4213441,67.75341124,71.04000718,99.41210518,129.325574,124.1163643,100.7045822,165.9670521,55.04559221,100.2320223,130.4700334,161.6707255,319.449664,305.3279713,330.4172842,101.7022143,143.1156179,132.0894016,58.81500631,59.86351937,68.24237814,74.6672352,70.64669053,244.5136441,290.6397397,247.6336227,6.920339467,18.19022323,61.44204891,12.93503095,4.096410179,23.04980429,9.427758465,21.47831074,23.56268166,4.700774631,1.289896798,8.303009989,91.37597475,72.26038128,87.65947777,49.55543839,41.53174837,130.0302978,33.10471347,36.87299577,22.65562606,12.56803707,74.49175156,31.91207758,28.99877652,40.96330964,16.96973527,30.3019162,63.43463748,30.37963383,67.48374974,83.8597179,99.89090567,60.38032583,10.23059894,102.4200081,82.22597422,2.116280293,96.20667026,101.9816658,104.3498423,938.0711156,264.4989158,79.96198759,75.76678038,110.7326194
fosfomycin,4.131152601,0,0,0.29986805,0.318170301,0.412776639,0.840274158,1.733748487,0.161573568,0.056254873,0,0,0,0,0.029108866,0.057099145,1.05601187,0,0.234842363,0,0.066611425,0.183623512,0.109697593,0.176654181,0,0,23.80353663,67.06039442,16.87742977,1.7487498,5.523224989,1.362677422,1.897926239,3.400958573,2.186036335,13.89130247,6.379927604,1.465665392,5.277868088,7.169382316,50.368217,17.96169419,42.67388279,11.3916499,21.06651586,15.00310256,1.404465416,1.076878302,8.430558986,0.244246306,0.12574526,1.456687956,10.96627129,0.20200356,0.278212836,0.048371213,0,0.051900119,1.33701737,0.966592901,0.640610908,0.349726935,0.191335575,0.170525782,0.912157329,0.089553155,18.96352449,0.850560701,0,0.26908945,0.267292904,0.209528509,0.037207683,3.139161608,15.20862868,13.14087345,17.1657383,3.599840251,1.75123221,165.4268014,0.100521911,237.9382384,223.2044066,0,196.658901,207.9979301,259.7599534,0,0.35303215,193.8369565,208.2583638,249.6917262
fusidic acid,0.024613176,0,0.024915291,0,0,0,0,0,0,0,0,0.02413099,0,0,0,0,0,0,0,0,0,0.043760743,0,0,3.150449302,8.086191257,0.534137144,0.480680007,2.496907846,7.389046991,12.23691049,11.38287754,1.073771387,2.259219777,1.231160453,3.546522086,0.428973994,2.157330958,0.137709157,0.111608771,31.53564004,28.32206575,26.0534671,6.327137157,1.584982152,1.012573484,24.85528068,1.227310949,43.46684862,3.964344278,15.79884806,0.553689451,8.103663952,0.436277355,0.30665871,0,0,0.02473744,0,0,0,0,0,0,0,0,0,0.142942915,0,0,0,0,0,0,0,0,0,0,0,0.244860287,1.641207863,1.148722953,2.282302875,18.57954999,0.273516741,0.250948087,1.226627961,13.44449026,212.7941064,2.199673757,1.853623954,3.472600118
glycopeptide antibiotic,4.072435537,0.015602961,5.104659291,1.851933581,2.316268695,1.7240821,2.065787426,1.780027496,1.036438176,0.381391965,0.600439151,2.094676303,0.91558399,0.721548865,0.558504565,1.177036491,0.69823123,0.464070756,0.991428651,0.434655835,0.813300944,0.128845344,0.132932561,0.729853384,0,0,8.171376294,6.93166236,0.298459305,0.611182761,1.414856365,0,0.319999437,0.743594574,0.195681511,0.1013609,0.170674506,0.270239633,0.373663257,0.498080372,0.184765728,0.294121425,0.129587788,0.295163074,0.328892022,0.352012227,0.618301511,1.769861362,2.205070746,1.36814995,1.505641242,2.795450812,0.940865628,0.665986,1.183795403,1.172277403,2.757896428,1.271917019,0.698461309,0.844532275,0.185830308,0.547384011,0.538268579,0.183189832,0.51458119,0.439687276,0.218611646,0.557762368,0.175473143,0.498027009,1.17087585,0.738374053,5.581762451,2.014036309,2.103901885,0.952064404,2.062091686,1.069955916,0.076341817,0,0,0,0,0,1.182002115,0,0,0,0,0.14345031,0,0
mupirocin,0.010197908,0.011116921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010559213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017061847,0.007647809,0,0.011547214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004632251,0,0,0,0,0,0,0,0,0.08320127,0,0,0,0,0.007347887,0,0.005306443,0,0.0052844,0,0,0.050932853,0.941509426,0.150550035,5.215435012,0,0,0,0.360431782,23.82821512,495.4671454,0.955592991,0.340207292,1.157683958
