,Sample,PC1,PC2,Farm,Env,Site
0,2021_CF2E_112B,0.0312788344413642,-0.17168560631422597,CF-1,Floor_Finishing,Floor_Finishing
1,2021_CF2E_312B,0.0685239397903063,-0.18241083808012898,CF-3,Floor_Finishing,Floor_Finishing
2,2021_JF2E_112B,0.0755225095019679,-0.15874073779741102,JF-1,Floor_Finishing,Floor_Finishing
3,2021_KF2E_212B,0.10546123466771601,-0.12836421326365802,KF-2,Floor_Finishing,Floor_Finishing
4,2021_CF2E_112P,0.0185170749168511,-0.108431701448655,CF-1,Floor_Lactating,Floor_Lactating
5,2021_CF2E_312P,0.0681384504234274,-0.18528398211501895,CF-3,Floor_Lactating,Floor_Lactating
6,2021_JF2E_112P,0.0371781862786412,-0.11589361918047,JF-1,Floor_Lactating,Floor_Lactating
7,2021_KF2E_212P,0.0495866467503255,-0.136862950015523,KF-2,Floor_Lactating,Floor_Lactating
8,2021_CF1H_114,0.0916605007610254,0.0466962552163891,CF-1,Human_Fecal,Human_Fecal
9,2021_CF1H_124,0.103761624174862,0.043752714819852004,CF-1,Human_Fecal,Human_Fecal
10,2021_CF1H_134,0.127429109140525,0.0758949725989944,CF-1,Human_Fecal,Human_Fecal
11,2021_CF1H_314,0.10994145902494801,0.0358908882891636,CF-3,Human_Fecal,Human_Fecal
12,2021_CF1H_324,0.111756653027154,0.0265279073711631,CF-3,Human_Fecal,Human_Fecal
13,2021_CF1H_334,0.122780296265828,0.0781652150363317,CF-3,Human_Fecal,Human_Fecal
14,2021_CF2H_314,0.146780988749664,0.0437002313379313,CF-3,Human_Fecal,Human_Fecal
15,2021_CF2H_324,0.145122150711232,0.0429002910736688,CF-3,Human_Fecal,Human_Fecal
16,2021_JF1H_414,0.0647033072928514,0.00810320186161392,JF-4,Human_Fecal,Human_Fecal
17,2021_JF1H_424,0.116110768712526,0.0160890793886996,JF-4,Human_Fecal,Human_Fecal
18,2021_JF2H_114,0.146110700519659,0.0683899757306704,JF-1,Human_Fecal,Human_Fecal
19,2021_JF2H_124,0.154422162184036,0.0559195676268276,JF-1,Human_Fecal,Human_Fecal
20,2021_JF2H_414,0.15065388983221698,0.0476799940670896,JF-4,Human_Fecal,Human_Fecal
21,2021_JF2H_424,0.15635486668711202,0.052547266368482996,JF-4,Human_Fecal,Human_Fecal
22,2021_KF1H_114,0.128230386656445,0.0676080999159231,KF-1,Human_Fecal,Human_Fecal
23,2021_KF1H_124,0.13183471964780802,0.0630807104735246,KF-1,Human_Fecal,Human_Fecal
24,2021_KF1H_213,0.0864642048609028,0.0444264958972954,KF-2,Human_Fecal,Human_Fecal
25,2021_KF1H_224,0.0893189285987285,0.0291761839223528,KF-2,Human_Fecal,Human_Fecal
26,2021_KF1H_234,0.079848700906977,0.0421580788663952,KF-2,Human_Fecal,Human_Fecal
27,2021_KF2H_213,0.10275609624527,0.0607584180507937,KF-2,Human_Fecal,Human_Fecal
28,2021_KF2H_224,0.13913307575652403,0.0808608158635996,KF-2,Human_Fecal,Human_Fecal
29,2021_CF1H_112,0.00107838116694731,-0.00398420447962985,CF-1,Human_Nasal,Human_Nasal
30,2021_CF1H_132,0.0162373836293435,-0.0933862070093743,CF-1,Human_Nasal,Human_Nasal
31,2021_CF2H_112,0.00151877381127449,-0.00650227332731309,CF-1,Human_Nasal,Human_Nasal
32,2021_CF2H_132,0.0018149410983813899,-0.00500204741811825,CF-1,Human_Nasal,Human_Nasal
33,2021_JF2H_122,0.027849574170806,-0.10431090281434698,JF-1,Human_Nasal,Human_Nasal
34,2021_JF2H_412,0.0011369606979002099,-0.00268233621036017,JF-4,Human_Nasal,Human_Nasal
35,2021_JF2H_422,0.00148073647568051,-0.00258488930335405,JF-4,Human_Nasal,Human_Nasal
36,2021_KF1H_112,0.000702499068648189,-0.00264879553457003,KF-1,Human_Nasal,Human_Nasal
37,2021_KF1H_122,0.0011709147061289,-0.0229863477704887,KF-1,Human_Nasal,Human_Nasal
38,2021_KF1H_212,-0.00027551882491585,-0.0212608326010025,KF-2,Human_Nasal,Human_Nasal
39,2021_KF2H_112,0.0046385974349007,-0.0172714373032871,KF-1,Human_Nasal,Human_Nasal
40,2021_KF2H_212,0.00217028364083523,-0.0114912825028811,KF-2,Human_Nasal,Human_Nasal
41,2021_KF2H_222,0.0015429901875299301,-0.00661071754726259,KF-2,Human_Nasal,Human_Nasal
42,2021_CF2A_114,0.134533385823956,-0.036300739691016,CF-1,Swine_Fecal,Lactating_Fecal
43,2021_CF2A_124,0.13291503350181,0.0692282335044841,CF-1,Swine_Fecal,Lactating_Fecal
44,2021_CF2A_1314,0.149341878386704,0.0528899374793751,CF-1,Swine_Fecal,Finishing_Fecal
45,2021_CF2A_1324,0.151636693483301,0.0608000313404005,CF-1,Swine_Fecal,Finishing_Fecal
46,2021_CF2A_1334,0.147807625045965,0.0415332132440012,CF-1,Swine_Fecal,Finishing_Fecal
47,2021_CF2A_134,0.152037768289084,0.0453252099563028,CF-1,Swine_Fecal,Lactating_Fecal
48,2021_CF2A_314,0.15298297742173403,0.0363709318186985,CF-3,Swine_Fecal,Lactating_Fecal
49,2021_CF2A_324,0.15344402291362302,0.0352405056839794,CF-3,Swine_Fecal,Lactating_Fecal
50,2021_CF2A_3314,0.16195282780056602,0.0557016643842808,CF-3,Swine_Fecal,Finishing_Fecal
51,2021_CF2A_3324,0.155904202202925,0.0403627771799977,CF-3,Swine_Fecal,Finishing_Fecal
52,2021_CF2A_3334,0.159497014359635,0.0680667753530084,CF-3,Swine_Fecal,Finishing_Fecal
53,2021_CF2A_334,0.154556576604927,0.0352655026763995,CF-3,Swine_Fecal,Lactating_Fecal
54,2021_JF2A_114,0.15925806609860502,0.0570986935018866,JF-1,Swine_Fecal,Lactating_Fecal
55,2021_JF2A_124,0.15817273163388598,0.0403361787145293,JF-1,Swine_Fecal,Lactating_Fecal
56,2021_JF2A_1314,0.15503742685251598,0.0491291114410686,JF-1,Swine_Fecal,Finishing_Fecal
57,2021_JF2A_1324,0.147989109595066,0.059598306649095996,JF-1,Swine_Fecal,Finishing_Fecal
58,2021_JF2A_1334,0.153957185433732,0.0443767359647979,JF-1,Swine_Fecal,Finishing_Fecal
59,2021_JF2A_134,0.14853392084102898,0.0124960374534116,JF-1,Swine_Fecal,Lactating_Fecal
60,2021_KF2A_214,0.159529121336852,0.0531456192567283,KF-2,Swine_Fecal,Lactating_Fecal
