Phylum,2021-CF2A-114,2021-CF2A-124,2021-CF2A-134,2021-CF2A-314,2021-CF2A-324,2021-CF2A-334,2021-JF2A-114,2021-JF2A-124,2021-JF2A-134,2021-KF2A-214,2021-KF2A-224,2021-KF2A-234,2021-CF2A-1314,2021-CF2A-1324,2021-CF2A-1334,2021-CF2A-3314,2021-CF2A-3324,2021-CF2A-3334,2021-JF2A-1314,2021-JF2A-1324,2021-JF2A-1334,2021-KF2A-2314,2021-KF2A-2324,2021-KF2A-2334,2021-CF2A-112,2021-CF2A-122,2021-CF2A-312,2021-CF2A-322,2021-CF2A-332,2021-JF2A-112,2021-JF2A-122,2021-JF2A-132,2021-KF2A-212,2021-KF2A-222,2021-KF2A-242,2021-CF2A-1312,2021-CF2A-1322,2021-CF2A-1332,2021-CF2A-3312,2021-CF2A-3332,2021-JF2A-1312,2021-JF2A-1322,2021-JF2A-1332,2021-KF2A-2312,2021-KF2A-2322,2021-KF2A-2332,2021-CF2E-112P,2021-CF2E-312P,2021-JF2E-112P,2021-KF2E-212P,2021-CF2E-112B,2021-CF2E-312B,2021-JF2E-112B,2021-KF2E-212B,2021-CF2E-111,2021-CF2E-311,2021-JF2E-111,2021-KF2E-211,2021-CF2H-314,2021-CF2H-324,2021-JF2H-114,2021-JF2H-124,2021-JF2H-414,2021-JF2H-424,2021-KF2H-214,2021-KF2H-224,2021-CF2H-112,2021-CF2H-132,2021-JF2H-122,2021-JF2H-412,2021-JF2H-422,2021-KF2H-212,2021-KF2H-222,2021-KF2H-232
Firmicutes_A,43.38174925,15.38582158,35.59760366,53.32757405,55.76206423,51.45547158,44.46957169,58.1676452,61.08841219,44.93707601,34.40298115,54.05803282,34.68936401,31.76786563,48.17129641,35.02271414,42.14004769,32.78143239,37.34614597,26.24903895,39.85175861,27.2497045,27.37978491,23.37858711,3.949462296,5.057426444,4.846213344,3.957961005,1.974255869,3.396122977,2.913312194,1.500237697,2.25993499,2.372691437,1.845866458,2.995908645,2.966454977,5.451842721,9.732180165,14.10447015,5.872436257,3.915437038,3.769720081,14.98585878,13.71738093,10.60157546,10.26486402,27.10263302,29.09359216,26.73670145,3.222925103,13.8896249,25.2979498,27.22732322,32.22136913,7.906522719,1.042691811,37.17171921,69.36836415,69.53765234,42.22576684,62.23134178,62.09380486,56.22072458,10.34391822,16.00097974,0.359498998,1.109043626,2.81723321,0.109979061,0.113811268,0.387934065,0.859120388,1.407913442
Actinobacteriota,0.511617733,0.76312125,2.717258538,0.539661017,0.629472721,0.725197303,0.194686686,0.294958285,1.393452516,0.19278178,0.44742192,0.14629559,1.127721958,0.685953542,0.334914421,0.865504144,0.390624024,0.98404596,0.700438785,0.392878763,0.588911294,3.130216805,2.55432378,0.675685993,48.19382923,48.02092856,49.12369842,32.9272961,72.86862319,52.59452143,44.36752729,36.45290054,20.77123854,21.91226899,29.47491411,31.57069854,36.54844484,35.92233542,6.921060242,10.00767989,46.55022971,46.97416633,49.4946639,17.86860288,20.78209459,26.26143884,35.12704705,30.08187041,24.33445243,19.63278018,73.24945282,27.33739686,38.66262505,27.54612305,17.43790735,22.36920695,30.63322115,18.38550824,1.377017852,1.130168307,0.861249676,1.008710695,3.931179606,4.354401444,0.251310584,3.622067503,15.76966156,22.49760773,83.51551518,5.954170736,2.05982847,27.24085182,7.8924483,38.08118027
Bacteroidota,22.68213856,78.87901944,49.96214067,31.20288839,28.74895011,28.8378019,27.36141826,21.72095604,11.21698397,30.13499124,40.62161471,27.25500516,41.67035159,47.37780184,29.71261798,39.99428559,27.54781858,38.84709252,37.33587951,50.56141983,32.95146525,32.78816266,32.33107219,43.03562887,12.36928556,14.16199888,3.176261013,2.731857753,0.638492153,15.54909767,10.98643424,10.59200949,5.075067552,3.400104015,3.282962541,2.225548906,5.515146349,2.786308912,3.239533427,2.880463906,1.07955376,1.171360812,1.473265188,2.541362688,3.681857357,3.194103536,3.032439783,6.033403806,7.302471134,5.802761287,0.918500565,10.49328436,2.451335676,2.312660487,15.20958496,14.97993571,5.434590212,5.099006763,16.41373574,17.14458138,43.29312629,25.57939464,24.58355109,28.16419042,79.01501625,56.94681703,0.148411509,0.189907475,1.377381692,0.049468641,0.058591897,0.079254745,0.159667874,0.534517909
Proteobacteria,11.7559189,0.164425921,0.301913459,0.930579303,0.85270621,1.219931576,0.549725147,1.676214757,0.655675813,0.504199905,3.746663693,1.237939392,1.439207592,1.258515029,1.781830443,1.508871652,2.890991095,2.541413127,1.055931927,1.148173152,1.5859046,4.704426228,5.20593825,3.113777954,15.51243802,13.841763,20.13004422,36.6580194,9.255965423,12.86370871,25.56434644,29.39965392,37.70281905,39.95321828,36.47652642,26.73961709,27.7180682,31.45516924,14.96697253,15.0767255,18.6207196,18.62835192,18.75790524,30.32593208,32.21035293,28.67223013,2.094405213,8.737255609,2.002554726,1.527814881,0.755949188,18.62494151,1.838610856,1.416389477,3.59386721,22.54234087,20.99678839,7.840334259,0.938588456,1.059748828,0.150248099,0.344213616,0.335952378,0.293033789,3.306534802,5.221928102,82.85924314,73.69247603,2.906207131,91.22875992,97.27163919,70.94081418,80.91384154,57.07878538
Firmicutes,13.03146473,2.822814038,5.974125193,3.404731578,3.468097243,3.507504888,9.701967076,7.891865193,15.63227022,8.229249613,4.232480743,5.935795999,8.26671054,8.425682423,8.468401823,12.18439588,12.80846676,8.778708775,8.029327146,12.03636691,11.5061149,11.17913776,11.79103614,9.745541597,19.19779272,17.62009325,21.20648066,22.61257448,14.53810584,14.42420273,15.33063474,21.57346201,32.71783936,31.26294111,28.10107956,35.26408685,26.18032506,22.50754927,61.10982975,52.66502379,27.34157177,28.73625229,26.01937165,30.42638095,25.45204244,28.10939723,47.89028762,19.06289389,31.89818592,39.42722962,20.96444883,25.04955154,26.33839453,34.01189155,25.78021119,4.853965639,0.273270717,16.29821138,0.514587399,0.528848367,0.247368917,0.352987087,0.425151137,0.687817793,0.25055426,0.194563465,0.727444313,2.355987287,5.34159866,2.448933313,0.423345766,1.255648664,9.920307138,2.453717925
Firmicutes_C,1.949560683,1.834027415,4.49694076,1.144374546,1.432779795,3.638061815,2.63559714,1.287581777,3.095718141,1.18071051,6.83491191,3.457599006,8.352476689,5.137827113,5.530311467,7.614753065,7.323644692,12.37060237,12.74905868,4.0127025,9.530098837,19.65557241,19.46318451,17.88358745,0.133357418,0.364047623,0.221584839,0.200276753,0.142359758,0.301559661,0.226988966,0.100170474,0.534301337,0.404848458,0.256064381,0.451973948,0.108472038,1.254216617,3.08115541,3.825989204,0.091591289,0.116353033,0.061412651,1.430146076,2.250230767,1.779682153,0.369316085,0.972894036,1.104106888,0.884608527,0.043437887,2.43824627,1.200385134,3.81288278,2.981221873,0.101383841,0.046414174,2.617184402,11.07954906,10.17713104,12.08126961,9.753935598,7.682887798,9.021434732,6.360883287,17.81567735,0.031374193,0.0458337,0.106871059,0.007683385,0.007924091,0.010867407,0.089880772,0.239064561
Spirochaetota,0.505603629,0.033932956,0.737432459,4.811604952,4.8246264,6.061139091,12.46300232,5.16171466,3.523472153,9.331493313,6.287079413,5.134205476,1.865443828,1.287699796,3.973756903,1.176325161,3.238123196,0.891940289,1.318967032,3.417177233,1.78180637,0.107648514,0.155576137,0.861493169,0.145934964,0.180384379,0.19148665,0.104146594,0.039843576,0.253042622,0.112669289,0.097158901,0.064497289,0.04888638,0.043658204,0.031439256,0.029676831,0.088945476,0.043225195,0.053716738,0.009813183,0.007481053,0.008972128,0.059596958,0.093400738,0.072609043,0.067477504,0.909520497,0.98206142,0.645395066,0.006521819,0.342715915,0.131533881,0.104323038,0.086726717,1.198261127,0.026815891,0.087615893,0.019340926,0.023599951,0.015597861,0.026717298,0.024756692,0.026302346,0.015040494,0.009270841,0.005918057,0.0070479,0.09830243,0.002970669,0.003990736,0.00442685,0.006945329,0.02037341
Methanobacteriota,0.1811349,0.004569936,0.007192789,0.46520599,0.703261278,0.532179569,0.460098302,0.755658999,1.855192063,0.121691842,0.626173012,0.213260641,0.062057833,0.428194468,0.244304383,0.205658294,1.16171872,0.202833002,0.181310935,0.581660833,0.625848509,0.529935457,0.338413671,0.248418087,0.220493567,0.325119917,0.422704697,0.369278756,0.423350536,0.258050801,0.209080565,0.091686315,0.251881919,0.264397062,0.175654995,0.244570479,0.307567604,0.317216457,0.56938691,1.03018569,0.312339384,0.182440128,0.236420784,1.676527633,1.249081486,0.926738999,0.317469229,5.025877516,2.194427333,4.502548365,0.066123839,0.610612363,3.455489669,3.116140852,0.873982516,0.12721315,0.020722956,4.216213873,0.028894341,0.0234618,0.001807019,0.00516632,0.036459913,0.08394126,0.00165237,0.000810356,0.005695574,0.014441158,0.046776852,0.001196494,0.001751024,0.001381414,0.052393464,0.044811292
Verrucomicrobiota,0.340584202,0.011828809,0.014972344,2.146040638,2.07837814,2.397690695,1.367331562,1.759957817,0.864460237,3.58210801,1.416227244,1.721713776,0.838037502,2.079869888,0.758391586,0.293932073,0.607445836,0.562255559,0.533491516,0.57769881,0.500449552,0.043553352,0.077714918,0.103694567,0.024665738,0.072838769,0.109990408,0.069631082,0.013105008,0.031831228,0.021655835,0.009871134,0.012897499,0.012056039,0.011300291,0.02159182,0.014816777,0.052570446,0.035346267,0.050361599,0.00673626,0.007991459,0.006082663,0.029717159,0.117776257,0.068290333,0.034594778,0.349045599,0.45455558,0.315218024,0.007805396,0.12095638,0.074632502,0.050898508,0.062323424,1.027886688,3.113202773,0.046069709,0.0089669,0.011131608,0.007047994,0.011672567,0.014029832,0.013507845,0.127196369,0.00751707,0.008353714,0.008001365,0.096818716,0.006886314,0.005443971,0.007798758,0.005259641,0.013239163
Chloroflexota,0.006493993,0.002735013,0.003902444,0.004895734,0.006042232,0.006940782,0.004185744,0.004512344,0.009565054,0.007578975,0.005819482,0.00657295,0.004523655,0.006280225,0.005801876,0.005001051,0.00628213,0.005670012,0.006188975,0.005536538,0.007733332,0.004626387,0.007115364,0.006679321,0.010359357,0.012938174,0.014205211,0.007856415,0.005091563,0.018820495,0.012362183,0.008426758,0.006608898,0.006414632,0.006164762,0.006673609,0.005064808,0.004242919,0.010964991,0.010711966,0.005296633,0.010804349,0.004779583,0.013344522,0.011529027,0.010553603,0.012046897,0.044348486,0.015567295,0.010433503,0.007601373,0.027407454,0.098701756,0.016364477,0.013967784,5.971617129,19.85218701,0.092652258,0.002680514,0.003884096,0.002194392,0.003309308,0.00294158,0.00425778,0.002613771,0.002197813,0.00463868,0.004775624,0.131842919,0.007347253,0.002722342,0.004652081,0.004391661,0.005713239
