,2021_CF1H_112,2021_CF1H_114,2021_CF1H_124,2021_CF1H_132,2021_CF1H_134,2021_CF1H_314,2021_CF1H_324,2021_CF1H_334,2021_CF2A_112,2021_CF2A_114,2021_CF2A_122,2021_CF2A_124,2021_CF2A_1312,2021_CF2A_1314,2021_CF2A_1322,2021_CF2A_1324,2021_CF2A_1332,2021_CF2A_1334,2021_CF2A_134,2021_CF2A_312,2021_CF2A_314,2021_CF2A_322,2021_CF2A_324,2021_CF2A_3312,2021_CF2A_3314,2021_CF2A_332,2021_CF2A_3324,2021_CF2A_3332,2021_CF2A_3334,2021_CF2A_334,2021_CF2E_111,2021_CF2E_112B,2021_CF2E_112P,2021_CF2E_311,2021_CF2E_312B,2021_CF2E_312P,2021_CF2H_112,2021_CF2H_132,2021_CF2H_314,2021_CF2H_324,2021_JF1H_414,2021_JF1H_424,2021_JF2A_112,2021_JF2A_114,2021_JF2A_122,2021_JF2A_124,2021_JF2A_1312,2021_JF2A_1314,2021_JF2A_132,2021_JF2A_1322,2021_JF2A_1324,2021_JF2A_1332,2021_JF2A_1334,2021_JF2A_134,2021_JF2E_111,2021_JF2E_112B,2021_JF2E_112P,2021_JF2H_114,2021_JF2H_122,2021_JF2H_124,2021_JF2H_412,2021_JF2H_414,2021_JF2H_422,2021_JF2H_424,2021_KF1H_112,2021_KF1H_114,2021_KF1H_122,2021_KF1H_124,2021_KF1H_212,2021_KF1H_213,2021_KF1H_224,2021_KF1H_234,2021_KF2A_212,2021_KF2A_214,2021_KF2A_222,2021_KF2A_224,2021_KF2A_2312,2021_KF2A_2314,2021_KF2A_2322,2021_KF2A_2324,2021_KF2A_2332,2021_KF2A_2334,2021_KF2A_234,2021_KF2A_242,2021_KF2E_211,2021_KF2E_212B,2021_KF2E_212P,2021_KF2H_112,2021_KF2H_212,2021_KF2H_213,2021_KF2H_222,2021_KF2H_224,Class
AAC(2')-Ib,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05115981592548022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02290137780128344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02714775436986561,0,0,0,0,0,0,0,aminoglycoside antibiotic
AAC(3)-IIIc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017731775935701626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,aminoglycoside antibiotic
AAC(3)-IIa,0,0,0,0,0,0,0,0,0,0.165751664686061,0,0,0.06201580815628198,0,0,0,0,0,0,2.9975178880832347,0,5.011734917587891,0,0,0,0.7573291723771061,0,0.027837152757486508,0,0,0.0380336811119972,0,0.03592578079349198,0,0.07889647584117535,0.10795992551042244,0,0,0,0,0,0,0,0,0.13260936598572245,0.03776060335811061,0.021927616558412206,0,0,0.11106607197229015,0,0.036132585143573,0,0,0,0.03373872371935562,0.03459556283958569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2465019343672726,0,0.44196849703207697,0,1.9393929136346886,0,2.5581336626508664,0,1.113480896850185,0,0,0.8090006307495338,0,0.03429455015986527,0.05558435961451668,0,0,0,0.05314095268778869,0,aminoglycoside antibiotic
AAC(3)-IIb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17711639003388158,0,0,0,0,0,0,0,aminoglycoside antibiotic
AAC(3)-IIc,0,0,0,0,0,0,0,0,0.14733307488362496,0.14733481305427645,0,0,0.08268774420837599,0,0.021251803202750382,0,0,0,0,5.595366724422038,0,11.007917765416256,0.036311463740038616,0.06182467063277471,0,2.8273622435412005,0,0.08351145827245952,0,0,0,0.012257564219915822,0.10777734238047593,0,0.0591723568808815,0.1259532464288262,0,0,0,0,0,0,0,0.1051502442657925,0,0.018880301679055304,0.04385523311682441,0,0,0.2221321439445803,0,0.05419887771535951,0,0,0,0.1349548948774225,0.19027559561772125,0,0,0,0,0.01667269601641029,0,0,0,0,0,0,0,0,0,0,1.3557606390199994,0,1.8231200502573208,0,6.916389185974264,0.06548810558230732,9.347026844301178,0.03912291769772768,3.868874302615032,0,0,2.427001892248606,0.03701966504981674,0.0514418252397979,0.42614675704462784,0,0,0,0.1859933344072604,0,aminoglycoside antibiotic
AAC(3)-IId,0,0,0,0.048855054814785435,0,0,0,0,0,0.44200443916282933,0,0,0.16537548841675198,0,0.1487626224192527,0,0,0,0,9.392222715994146,0.038889435621994144,22.73179766191638,0,0.2060822354425824,0,4.947883926197104,0,0.19486006930240557,0,0.09059325922994778,0.0190168405559986,0,0.1616660135707139,0,0,0.3418730974496711,0,0,0,0,0,0,0,0.1051502442657925,0.2652187319714449,0,0.04385523311682441,0,0,0.3554114303113285,0,0.09033146285893251,0,0.020954232620251118,0,0.33738723719355623,0.5362312240135783,0,0,0,0,0,0,0,0,0.05307949201352505,0,0,0,0,0,0,2.3417683764890915,0,4.198700721804728,0,16.3563257776418,0.06548810558230732,20.228933886192838,0.05868437654659152,9.964710398930388,0,0,5.258504099871967,0.03701966504981674,0.2057673009591916,0.9264059935752792,0,0,0.0223279845297066,0.2922752397828378,0,aminoglycoside antibiotic
AAC(3)-IIe,0,0,0,0,0,0,0,0,0,0.46042129079461397,0,0,0.08268774420837599,0,0.06375540960825114,0,0,0,0,6.9942084055275515,0.038889435621994144,15.661671617462106,0.018155731870019308,0.06182467063277471,0,1.7166127907214412,0,0,0,0,0.057050521667995804,0,0.01796289039674599,0,0.0591723568808815,0.1799332091840374,0,0,0,0,0,0,0,0,0.7956561959143349,0.07552120671622121,0.06578284967523662,0,0,0.08885285757783212,0,0.036132585143573,0.03801043556421841,0.020954232620251118,0,0.1349548948774225,0.13838225135834276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7395058031018178,0,1.8231200502573208,0,6.589262670421428,0.01637202639557683,8.933789868026812,0,3.3781878056980066,0,0,2.4637746481917664,0.01850983252490837,0.0514418252397979,0.38909051730161676,0,0,0,0.026570476343894346,0,aminoglycoside antibiotic
AAC(3)-IIg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45864021617405176,0,0.5286370405950586,0,0.5216999077032255,0,0.5021169419626977,0,1.0634580955488044,0,0,1.5638673902964966,0,0,0,0,0,0,0,0,aminoglycoside antibiotic
AAC(3)-IV,0,0.09273478287869691,0,0,0.04790222539034327,0,0,0,6.8595538585352775,8.064153987762367,5.280199208774447,0.24480924868661305,10.930646744568886,0,10.648306603201346,0,1.786385312820213,0.09206524964743659,0.08266468607904406,15.506539565743251,0,21.329705155210267,0,2.8099073172089772,0.09029632259419478,13.432318964331877,0,1.45033723785323,0,0,3.857765120231985,79.27147318786548,17.224183935081527,0.03866730273437458,4.788373902942015,9.215091006164826,0,0.15072830922283098,0,0.04805841392391743,0.048976372707244954,0,67.91709207307956,0.04662475947289404,49.09836076131819,0.2720812466772388,52.04205324320376,0,97.84826709057828,15.537712980272499,0,47.24363517278231,0,0,0.1730918089631888,6.48895042510906,33.70975552129755,0,4.601679242513819,0,0,0,0.020678790580192608,0,0,0,0,0,0,0,0,0,26.43733246088985,0,52.45356640720918,0,125.6249140983727,0,97.52835012622374,0,83.24363288202095,0,0,73.53753020286067,3.960099750813524,31.28752956406459,78.9721611592969,0.3117321514148243,0,0,3.8290322111084922,0,aminoglycoside antibiotic
AAC(3)-Ia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022764047836986524,0,0,0.03663050664054569,0.03341616741989266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04339433369578468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,aminoglycoside antibiotic
